EPC,NUMBER,x,y,z
E2003EA4E98B6D4A6181AC26,1,,,
E2003EA4E98B6C4A6181AC22,2,,,
E2003EA4E98B764A6181AC4A,3,,,
E2003EA4E98B954A6181ACC6,4,,,
E2003EA4E98B904A6181ACB2,5,,,
E2003EA4E98B844A6181AC82,6,,,
E2003EA4E98B854A6181AC86,7,,,
E2003EA4E98B924A6181ACBA,8,,,
E2003EA4E98B934A6181ACBE,9,,,
E2003EA4E98B874A6181AC8E,10,,,
E2003EA4E98B824A6181AC7A,11,,,
E2003EA4E98BAC4A6181AD22,12,,,
E2003EA4E98BAD4A6181AD26,13,,,
E2003EA4E98B9E4A6181ACEA,14,,,
E2003EA4E98B9F4A6181ACEE,15,,,
E2003EA4E989EB4A6181A61E,16,,,
E2003EA4E989DF4A6181A5EE,17,,,
E2003EA4E98BAA4A6181AD1A,18,,,
E2003EA4E98B7B4A6181AC5E,19,,,
E2003EA4E989610A6181A3F5,20,,,
E2003EA4E989100A6181A2B1,21,,,
E2003EA4E989550A6181A3C5,22,,,
E2003EA4E989540A6181A3C1,23,,,
E2003EA4E989660A6181A409,24,,,
E2003EA4E98BAF4A6181AD2E,25,,,
E2003EA4E988FB0A6181A25D,26,,,
E2003EA4E9892C0A6181A321,27,,,
E2003EA4E9891C0A6181A2E1,28,,,
E2003EA4E989170A6181A2CD,29,,,
E2003EA4E9892D0A6181A325,30,,,
E2003EA4E9892E0A6181A329,31,,,
E2003EA4E9891E0A6181A2E9,32,,,
E2003EA4E989430A6181A37D,33,,,
E2003EA4E989190A6181A2D5,34,,,
E2003EA4E988FE0A6181A269,35,,,
E2003EA4E989440A6181A381,36,,,
E2003EA4E98BA04A6181ACF2,37,,,
E2003EA4E98BA14A6181ACF6,38,,,
E2003EA4E989D24A6181A5BA,39,,,
E2003EA4E989CF4A6181A5AE,40,,,
E2003EA4E98BB84A6181AD52,41,,,
E2003EA4E98BB94A6181AD56,42,,,
E2003EA4E989D44A6181A5C2,43,,,
E2003EA4E989D14A6181A5B6,44,,,
E2003EA4E98BBB4A6181AD5E,45,,,
E2003EA4E989820A6181A479,46,,,
E2003EA4E98BB64A6181AD4A,47,,,
E2003EA4E989EA4A6181A61A,48,,,
E2003EA4E9895F0A6181A3ED,49,,,
E2003EA4E989580A6181A3D1,50,,,
E2003EA4E989810A6181A475,51,,,
E2003EA4E989700A6181A431,52,,,
E2003EA4E989560A6181A3C9,53,,,
E2003EA4E9896B0A6181A41D,54,,,
E2003EA4E989830A6181A47D,55,,,
E2003EA4E9897F0A6181A46D,56,,,
E2003EA4E989760A6181A449,57,,,
E2003EA4E9896D0A6181A425,58,,,
E2003EA4E989A10A6181A4F5,59,,,
E2003EA4E9892F0A6181A31D,60,,,
E2003EA4E988640A6181A001,61,,,
E2003EA4E988610A61819FF5,62,,,
E2003EA4E9884F0A61819FAD,63,,,
E2003EA4E988510A61819FB5,64,,,
E2003EA4E9886D0A6181A025,65,,,
E2003EA4E9884E0A61819FA9,66,,,
E2003EA4E9887C0A6181A061,67,,,
E2003EA4E9887B0A6181A05D,68,,,
E2003EA4E9886E0A6181A029,69,,,
E2003EA4E988810A6181A075,70,,,
E2003EA4E9887A0A6181A059,71,,,
E2003EA4E988710A6181A035,72,,,
E2003EA4E9886F0A6181A02D,73,,,
E2003EA4E988990A6181A0D5,74,,,
E2003EA4E988410A61819F75,75,,,
E2003EA4E9899F0A6181A4ED,76,,,
E2003EA4E9898F0A6181A4AD,77,,,
E2003EA4E989900A6181A4B1,78,,,
E2003EA4E987E20A61819DF9,79,,,
E2003EA4E989A00A6181A4F1,80,,,
E2003EA4E989920A6181A4B9,81,,,
E2003EA4E9898D0A6181A4A5,82,,,
E2003EA4E989A40A6181A501,83,,,
E2003EA4E989620A6181A3F9,84,,,
E2003EA4E9893A0A6181A359,85,,,
E2003EA4E989390A6181A355,86,,,
E2003EA4E989DE4A6181A5EA,87,,,
E2003EA4E989ED4A6181A626,88,,,
E2003EA4E989E14A6181A5F6,89,,,
E2003EA4E989E04A6181A5F2,90,,,
E2003EA4E98A094A6181A696,91,,,
E2003EA4E98A054A6181A686,92,,,
E2003EA4E989FC4A6181A662,93,,,
E2003EA4E989F74A6181A64E,94,,,
E2003EA4E98A0A4A6181A69A,95,,,
E2003EA4E98A064A6181A68A,96,,,
E2003EA4E989F94A6181A656,97,,,
E2003EA4E989FB4A6181A65E,98,,,
E2003EA4E98A284A6181A712,99,,,
E2003EA4E98A254A6181A706,100,,,
E2003EA4E98A164A6181A6CA,101,,,
E2003EA4E98A274A6181A70E,102,,,
E2003EA4E98A264A6181A70A,103,,,
E2003EA4E98A194A6181A6D6,104,,,
E2003EA4E98A184A6181A6D2,105,,,
